company_id,ten_cong_ty,nganh,quarter,is_demo,current_ratio,quick_ratio,cash_ratio,de_ratio,da_ratio,interest_coverage,asset_turnover,receivable_days,cfo_debt,cfo_margin,cf_volatility,gdp_growth,lending_rate,cpi,working_capital_ratio,cfo_margin_smooth,de_ratio_smooth,asset_turnover_smooth,cfo_debt_smooth,quick_ratio_smooth,working_capital_ratio_smooth,z_score,default_label,pd_score
AAA,AAA,San xuat,2025-Q2,False,1.4270822497611355,1.117647690659738,0.5348560348603087,1.0804341818321088,0.5193311046642378,6.758837100109396,0.7598894498890226,32.8949397543876,0.04357122013907409,0.1191114833332596,0.053356747626384746,7.1,8.7,3.9,0.11205864735565367,0.1191114833332596,1.0804341818321088,0.7598894498890226,0.04357122013907409,1.117647690659738,0.11205864735565367,2.999064338744594,0,0.2407
AAA,AAA,San xuat,2025-Q3,False,1.4070693894549258,1.1636284582086274,0.559792820333961,1.0342265424103978,0.5084126673447693,7.445595643465328,0.7742279627134739,31.962129180262465,0.061042181157192454,0.16033839973385777,0.053356747626384746,7.6,8.9,4.1,0.10344037534632633,0.1397249415335587,1.0573303621212533,0.7670587063012483,0.052306700648133274,1.1406380744341826,0.10774951135099001,3.19070679804732,0,0.2074
AAA,AAA,San xuat,2025-Q4,False,1.382050955779324,1.0943937186520984,0.49324896608323643,1.1205981630634543,0.528434940000428,3.8929274243150074,0.6802228802287459,28.87934965042308,0.05739717867780441,0.17835727407816565,0.053356747626384746,7.8,9.1,4.3,0.09719825917476876,0.15260238571509435,1.078419629101987,0.7381134309437475,0.05400352665802365,1.125223289173488,0.10423242729224959,3.16367814792795,0,0.2119
AAA,AAA,San xuat,2026-Q1,False,1.3734388414848915,1.1156768325845707,0.44425175778637394,1.0864936172267337,0.5207270265560882,7.521545821017257,0.6841918744602322,32.26069125850795,0.019089270549004785,0.058114101983160756,0.053356747626384746,7.5,8.8,4.0,0.09066740372077943,0.12898031478211094,1.0804381261331737,0.7246330418228687,0.04527496263076894,1.1228366750262586,0.10084117139938205,3.0430558130950285,0,0.2327
ANV,ANV,San xuat,2025-Q2,False,1.5902355584502643,0.7023003378857952,0.039593260622458534,0.5789508751144645,0.36666807323723355,21.30233052945956,1.3408185333031486,48.71019464457654,0.07792687469134466,0.0852413545510397,0.13047653851632607,7.1,8.7,3.9,0.20581761037355414,0.0852413545510397,0.5789508751144645,1.3408185333031486,0.07792687469134466,0.7023003378857952,0.20581761037355414,3.3896271216512597,0,0.1766
ANV,ANV,San xuat,2025-Q3,False,1.6685295131548368,0.920720901119843,0.08451885367353246,0.5906140336577268,0.3713119720813534,22.27810911375523,1.4201995744844436,46.05542722848555,0.16134560693959482,0.1687355962521029,0.13047653851632607,7.6,8.9,4.1,0.23725430163187766,0.12698847540157132,0.5847824543860957,1.380509053893796,0.11963624081546974,0.811510619502819,0.22153595600271592,3.8201032680661946,0,0.1224
ANV,ANV,San xuat,2025-Q4,False,1.558351283797339,0.9211498922081043,0.0204951840986479,0.6515260277885588,0.3944994004490326,17.387917301092475,1.4551306049771282,44.37011081451254,0.17816682484988022,0.19321071343775445,0.13047653851632607,7.8,9.1,4.3,0.21384932877648236,0.1490625547469657,0.6070303121869167,1.4053829042549069,0.13914643549360659,0.8480570437379141,0.21897374692730473,3.9929417946382837,0,0.105
ANV,ANV,San xuat,2026-Q1,False,1.6314221847280745,1.0354671657795185,0.01351488266120862,0.6295742557096403,0.38634278462841565,14.877583745977457,1.2142459744917362,55.91946658580892,-0.07461922107451043,-0.09496790028493825,0.13047653851632607,7.5,8.8,4.0,0.23697369129794893,0.08805494098898971,0.6126662980675976,1.3575986718141142,0.08570502135157732,0.8949095742483152,0.22347373301996576,3.71983748248394,0,0.1336
BMP,BMP,San xuat,2025-Q2,False,4.157082413987219,3.5855931486859207,0.9023351295218711,0.26032322455174384,0.20655274732744242,50.0,1.4840159949214757,8.486423557227567,0.5009213386612984,0.2788829205332282,0.18094272889695148,7.1,8.7,3.9,0.6364305585045829,0.2788829205332282,0.26032322455174384,1.4840159949214757,0.5009213386612984,3.5855931486859207,0.6364305585045829,8.568475732033718,0,0.0012
BMP,BMP,San xuat,2025-Q3,False,4.211732096119723,3.7055347332827044,0.9966998277623274,0.26130432398574777,0.20716992641396859,50.0,1.5435377609961942,6.1043517027615675,0.505235241208289,0.2712458363838447,0.18094272889695148,7.6,8.9,4.1,0.6512484899638298,0.2750643784585365,0.2608137742687458,1.513776877958835,0.5030782899347936,3.645563940984313,0.6438395242342063,8.717547281349256,0,0.001
