quarter,tsnh,no_nh,no_phai_tra,tong_ts,vcsh,hang_ton_kho,phai_thu_kh,tien,doanh_thu,ebt,lai_vay,lnst,cfo,ticker,nganh
2025-Q3,10627169627164.0,9111277665535.0,9158337344683.0,11734736586380.0,2576399241697.0,1417539740201.0,3002268691229.0,954504691054.0,5483844536320.0,183403585710.0,-103529592410.0,145160316361.0,-1070360049782.0,PET,Thuong mai
2025-Q2,10352981221486.0,9008794641633.0,9033083071099.0,11467608020037.0,2434524948938.0,1742368483173.0,2940002434718.0,1306594811256.0,4715573993801.0,77852475322.0,-46218993727.0,57636450054.0,-855102697949.0,PET,Thuong mai
2026-Q1,517760338000000.0,388427617000000.0,597132268000000.0,869974503000000.0,272842235000000.0,138885119000000.0,27680047000000.0,35837536000000.0,65114237000000.0,30726795000000.0,-2561005000000.0,25625357000000.0,37220145000000.0,VHM,Bat dong san
2025-Q4,496890087000000.0,343090159000000.0,538640560000000.0,787857267000000.0,249216707000000.0,131414569000000.0,23488063000000.0,49961891000000.0,102178073000000.0,34517046000000.0,-2419639000000.0,28021703000000.0,-1719228000000.0,VHM,Bat dong san
2025-Q3,436436596000000.0,329506259000000.0,533334874000000.0,768264553000000.0,234929679000000.0,125608165000000.0,22082436000000.0,48767614000000.0,16419972000000.0,5420373000000.0,-2699135000000.0,4435641000000.0,1814555000000.0,VHM,Bat dong san
2025-Q2,387915470000000.0,286758448000000.0,423301025000000.0,653806824000000.0,230505799000000.0,80555168000000.0,19936487000000.0,48671892000000.0,18974961000000.0,9033008000000.0,-2453497000000.0,8225398000000.0,40458250000000.0,VHM,Bat dong san
2026-Q1,207035228227019.0,101342632692806.0,193308580403613.0,253145048762541.0,59836468358928.0,154608590193270.0,3332295686964.0,4518328920108.0,3586658446812.0,1348818841519.0,-34936576384.0,859557448665.0,-436501168392.0,NVL,Bat dong san
2025-Q4,206852318779699.0,95996837653507.0,191014858442941.0,249907848818804.0,58892990375863.0,153324020054942.0,3274282872300.0,4395471320099.0,1567838643688.0,4070100365731.0,-43660036551.0,3680945295574.0,2936999449151.0,NVL,Bat dong san
2025-Q3,203298543739096.0,114084230472201.0,188760603850358.0,239574800711639.0,50814196861281.0,152285411287107.0,3403072586468.0,3837770809681.0,1683130424875.0,-782194980858.0,-31627274551.0,-1153238964099.0,-1626687311363.0,NVL,Bat dong san
2025-Q2,203376141981170.0,103476262105674.0,186651367093163.0,238619028593128.0,51967661499965.0,150112707450262.0,3392652268698.0,4305979590796.0,1936598230585.0,-138474317325.0,-33142528652.0,-189868378915.0,-6620088911346.0,NVL,Bat dong san
2026-Q1,23450438778534.0,10595628382502.0,14044149481236.0,26600203409010.0,12556053927774.0,15061665911567.0,2043938919714.0,185230983944.0,104332489333.0,390010250819.0,-86156077857.0,137538786139.0,-685851946632.0,PDR,Bat dong san
2025-Q4,24175702852037.0,10257721641617.0,14846308044248.0,27270246564755.0,12423938520507.0,16714675448271.0,1929691601058.0,375924179668.0,360578573688.0,368573645629.0,-143680691830.0,313327136627.0,-923071738591.0,PDR,Bat dong san
2025-Q3,21281715194792.0,7601727634713.0,12304782947922.0,24245517055370.0,11940734107448.0,14977294134859.0,2083502058028.0,115998896970.0,506525735876.0,117275479142.0,-74242425883.0,85848258243.0,-131806105422.0,PDR,Bat dong san
2025-Q2,20913450557357.0,7592640178449.0,12370619932554.0,24226363759099.0,11855743826545.0,14106010265503.0,1954727238971.0,25200283827.0,19926802911.0,100979964654.0,-62016885629.0,64894628067.0,-1482534048912.0,PDR,Bat dong san
2026-Q1,34319278191914.0,14650412239750.0,17392689169048.0,38493054163008.0,21100364993960.0,15800680826078.0,1702123800726.0,1797431506849.0,1352551016713.0,245239256648.0,-62676345945.0,214440011771.0,504776729225.0,DXG,Bat dong san
2025-Q4,33913372104043.0,14290960009735.0,17132079498590.0,38014588960817.0,20882509462227.0,15657589363782.0,1685387088444.0,3391086654285.0,1464660879760.0,105657818791.0,-57942204951.0,83768709997.0,156206634556.0,DXG,Bat dong san
2025-Q3,32122884190417.0,11894990408913.0,16257485341201.0,35209728247456.0,18952242906255.0,14635045502131.0,1766504605834.0,3928288784227.0,1068288616852.0,195809934188.0,-59655227385.0,163597341433.0,906807852206.0,DXG,Bat dong san
2025-Q2,29149687852400.0,9287569824805.0,13378513438265.0,32279629271188.0,18901115832923.0,14230276908734.0,1331209267558.0,3272061996274.0,734006844599.0,268726849866.0,-38970155809.0,268914770234.0,-803265811418.0,DXG,Bat dong san
